sid,sx,sy,eid,ex,ey,num,team,time
508,118.1935513,24.50932021,28,118.1947252,24.50969497,216,0,1
502,118.1946999,24.51194689,26,118.1946378,24.51064543,288,14,1
502,118.1946999,24.51194689,26,118.1946378,24.51064543,504,15,1
542,118.1978501,24.50122309,152,118.1965815,24.5002015,235,22,1
595,118.1954935,24.48098029,409,118.194148,24.48017916,235,25,1
542,118.1978501,24.50122309,152,118.1965815,24.5002015,235,32,1
595,118.1954935,24.48098029,409,118.194148,24.48017916,235,35,1
603,118.1930512,24.47898378,408,118.1927202,24.47744438,235,38,1
599,118.1969684,24.48031433,419,118.1956802,24.47951568,235,39,1
593,118.1965863,24.48325282,394,118.1951547,24.48245227,235,41,1
542,118.1978501,24.50122309,152,118.1965815,24.5002015,235,56,1
593,118.1965863,24.48325282,394,118.1951547,24.48245227,235,59,1
599,118.1969684,24.48031433,419,118.1956802,24.47951568,235,62,1
596,118.198109,24.48259481,395,118.196897,24.48179809,235,63,1
603,118.1930512,24.47898378,408,118.1927202,24.47744438,235,64,1
544,118.20224,24.50146014,157,118.2012388,24.50061944,199,69,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,164,77,1
596,118.198109,24.48259481,395,118.196897,24.48179809,235,90,1
600,118.1981935,24.47982122,414,118.19933,24.48060843,235,91,1
502,118.1946999,24.51194689,26,118.1946378,24.51064543,352,101,1
513,118.1965563,24.51562032,67,118.1978258,24.51630896,70,103,1
555,118.2029758,24.49384926,216,118.2034853,24.4949429,199,108,1
600,118.1981935,24.47982122,414,118.19933,24.48060843,235,116,1
542,118.1978501,24.50122309,152,118.1965815,24.5002015,199,165,1
542,118.1978501,24.50122309,152,118.1965815,24.5002015,215,199,1
555,118.2029758,24.49384926,216,118.2034853,24.4949429,199,211,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,34,226,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,164,227,1
555,118.2029758,24.49384926,216,118.2034853,24.4949429,199,231,1
569,118.197204,24.4900175,278,118.1964804,24.49125042,37,246,1
621,118.2054266,24.5048614,167,118.2049419,24.50520454,94,256,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,164,258,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,164,259,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,164,260,1
597,118.1993934,24.48199585,415,118.1981423,24.48120808,199,278,1
593,118.1965863,24.48325282,394,118.1951547,24.48245227,199,286,1
595,118.1954935,24.48098029,409,118.194148,24.48017916,199,287,1
544,118.20224,24.50146014,157,118.2012388,24.50061944,139,295,1
502,118.1946999,24.51194689,26,118.1946378,24.51064543,235,297,1
513,118.1965563,24.51562032,67,118.1978258,24.51630896,70,298,1
513,118.1965563,24.51562032,67,118.1978258,24.51630896,70,299,1
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,310,1
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,334,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,164,335,1
608,118.1920262,24.47688385,426,118.1936196,24.4770663,34,336,1
600,118.1981935,24.47982122,414,118.19933,24.48060843,235,378,1
611,118.1909715,24.47351089,474,118.1916719,24.47450394,164,383,1
597,118.1993934,24.48199585,415,118.1981423,24.48120808,17,384,1
555,118.2029758,24.49384926,216,118.2034853,24.4949429,199,389,1
513,118.1965563,24.51562032,67,118.1978258,24.51630896,70,392,1
555,118.2029758,24.49384926,216,118.2034853,24.4949429,12,395,1
555,118.2029758,24.49384926,216,118.2034853,24.4949429,12,396,1
555,118.2029758,24.49384926,216,118.2034853,24.4949429,199,397,1
593,118.1965863,24.48325282,394,118.1951547,24.48245227,235,411,1
593,118.1965863,24.48325282,394,118.1951547,24.48245227,92,412,1
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,416,1
595,118.1954935,24.48098029,409,118.194148,24.48017916,143,421,1
595,118.1954935,24.48098029,409,118.194148,24.48017916,235,434,1
593,118.1965863,24.48325282,394,118.1951547,24.48245227,235,435,1
597,118.1993934,24.48199585,415,118.1981423,24.48120808,235,438,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,164,439,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,164,440,1
621,118.2054266,24.5048614,167,118.2049419,24.50520454,8,441,1
513,118.1965563,24.51562032,67,118.1978258,24.51630896,126,452,1
603,118.1930512,24.47898378,408,118.1927202,24.47744438,72,455,1
600,118.1981935,24.47982122,414,118.19933,24.48060843,235,456,1
513,118.1965563,24.51562032,67,118.1978258,24.51630896,126,466,1
593,118.1965863,24.48325282,394,118.1951547,24.48245227,235,467,1
627,118.1910466,24.48835733,281,118.191583,24.48935938,164,469,1
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,478,1
611,118.1909715,24.47351089,474,118.1916719,24.47450394,164,480,1
